X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10384126.8692,5613119.1067,0002XX 31ST ST W,MP2021206630        ,5     ,2021/09/10 00:00:00+00,1354,2021/09/10 00:00:00+00,2021/09/10 13:54:00+00,1353,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/11 00:00:00+00,11378,-93.28219,44.9466,-10384126.8692,5613119.1067,Lyndale,2021/10/05 00:00:00+00,2022/03/17 09:10:32+00,7158
-10379619.1334,5615857.5673,0021XX 9TH ST S,MP2021206635        ,3     ,2021/09/10 00:00:00+00,1401,2021/09/10 00:00:00+00,2021/09/10 14:01:00+00,1345,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/11 00:00:00+00,,-93.2417,44.96401,-10379619.1334,5615857.5673,Seward,2021/09/11 00:00:00+00,2022/03/26 07:00:59+00,7159
-10388689.5842,5612979.5502,0034XX LIST PL,MP2021206732        ,5     ,2021/09/10 00:00:00+00,1705,2021/09/03 00:00:00+00,2021/09/10 17:05:00+00,1200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/11 00:00:00+00,18293,-93.32318,44.94571,-10388689.5842,5612979.5502,West Maka Ska,2021/09/13 00:00:00+00,2022/03/17 09:10:32+00,7164
-10382279.5164,5620914.2956,0008XX MAIN ST NE,MP2021206905        ,2     ,2021/09/10 00:00:00+00,2024,2021/09/10 00:00:00+00,2021/09/10 20:24:00+00,1700,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/11 00:00:00+00,25795,-93.2656,44.99614,-10382279.5164,5620914.2956,St. Anthony West,2021/09/11 00:00:00+00,2022/03/17 09:10:32+00,7168
-10383217.6883,5616130.6606,0017XX 2ND AVE S,MP202120693         ,5     ,2021/01/29 00:00:00+00,2345,2021/01/29 00:00:00+00,2021/01/29 23:45:00+00,2330,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/30 00:00:00+00,17640,-93.27403,44.96574,-10383217.6883,5616130.6606,Steven's Square - Loring Heights,2021/01/30 00:00:00+00,2022/03/17 09:10:32+00,7169
-10386921.9059,5618488.4173,0020XX GLENWOOD AVE,MP2021207005        ,4     ,2021/09/10 00:00:00+00,2205,2021/09/10 00:00:00+00,2021/09/10 22:05:00+00,2102,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/11 00:00:00+00,15737,-93.3073,44.98073,-10386921.9059,5618488.4173,Harrison,2021/09/11 00:00:00+00,2022/03/17 09:10:32+00,7174
-10381516.8974,5611868.786,0035XX 11TH AVE S,MP2021207143        ,3     ,2021/09/10 00:00:00+00,2355,2021/09/10 00:00:00+00,2021/09/10 23:55:00+00,1915,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/11 00:00:00+00,,-93.25875,44.93865,-10381516.8974,5611868.786,Powderhorn Park,2021/09/11 00:00:00+00,2022/03/26 07:00:59+00,7176
-10381954.0298,5606184.1229,0055XX CHICAGO AVE,MP2021207388        ,3     ,2021/09/11 00:00:00+00,529,2021/09/11 00:00:00+00,2021/09/11 05:29:00+00,415,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/11 00:00:00+00,14616,-93.26267,44.90249,-10381954.0298,5606184.1229,Diamond Lake,2021/09/11 00:00:00+00,2022/03/17 09:10:32+00,7185
-10385404.2207,5613482.2235,0011XX LAGOON AVE,MP2021207431        ,5     ,2021/09/11 00:00:00+00,902,2021/09/11 00:00:00+00,2021/09/11 09:02:00+00,750,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/12 00:00:00+00,19777,-93.29367,44.94891,-10385404.2207,5613482.2235,Lowry Hill East,2021/09/12 00:00:00+00,2022/03/17 09:10:32+00,7186
-10378332.4417,5612511.5178,0033XX MINNEHAHA AVE,MP2021207585        ,3     ,2021/09/11 00:00:00+00,1236,2021/09/11 00:00:00+00,2021/09/11 12:36:00+00,200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/12 00:00:00+00,16507,-93.23014,44.94273,-10378332.4417,5612511.5178,Longfellow,2021/09/12 00:00:00+00,2022/03/17 09:10:32+00,7192
