PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID,x2,y2
0000XX 26 ST E,3739128,MP 2018 040410,05,2/7/2018 11:09:00 PM,2/7/2018 7:55:00 PM,19:55:00,TFMV,Theft From Motr Vehc,07,2/7/2018 11:07:28 PM,16209,44.95553285,-93.27722846,-10383573.5743,5614523.7575,WHITTIER,2/8/2018 3:05:11 PM,2/8/2018 8:00:33 PM,80,-10383573.5743,5614523.7575
0025XX Chicago AV S,3739137,MP 2018 040490,03,2/8/2018 12:15:00 AM,2/7/2018 11:20:00 PM,23:20:00,AUTOTH,Motor Vehicle Theft,08,2/8/2018 12:10:52 AM,18934,44.95642799,-93.26259001,-10381944.0295,5614664.5715,MIDTOWN PHILLIPS,2/8/2018 5:00:23 AM,2/8/2018 8:00:33 PM,82,-10381944.0295,5614664.5715
0026XX HENNEPIN AV ,3739138,MP 2018 999270,05,2/8/2018 12:14:16 AM,2/7/2018 8:00:00 PM,20:00:00,TFMV,Theft From Motr Vehc,07,2/8/2018 12:14:16 AM,17297,44.95510273,-93.29700253,-10385774.814,5614456.0975,EAST ISLES,2/8/2018 7:37:09 AM,2/8/2018 8:00:33 PM,83,-10385774.814,5614456.0975
0001XX 59 ST E,3739176,MP 2018 999269,05,2/8/2018 8:23:45 AM,2/7/2018 8:00:00 PM,20:00:00,TFMV,Theft From Motr Vehc,07,2/8/2018 8:23:45 AM,15243,44.89561447,-93.27754595,-10383608.9178,5605103.0634,WINDOM,2/8/2018 8:23:48 AM,2/8/2018 8:00:33 PM,91,-10383608.9178,5605103.0634
0051XX Queen AV N,3739197,MP 2018 040732,04,2/8/2018 9:27:00 AM,2/8/2018 7:50:00 AM,07:50:00,AUTOTH,Motor Vehicle Theft,08,2/8/2018 9:26:53 AM,10067,45.0485005,-93.31060049,-10387288.5318,5629160.1317,SHINGLE CREEK,2/9/2018 6:13:16 AM,2/9/2018 8:00:40 PM,94,-10387288.5318,5629160.1317
0027XX Fremont AV N,3739213,MP 2018 040904,04,2/8/2018 11:15:00 AM,1/7/2018 2:00:00 PM,14:00:00,AUTOTH,Motor Vehicle Theft,08,2/8/2018 11:23:18 AM,22231,45.00865586,-93.2955763,-10385616.0468,5622884.2775,JORDAN,2/9/2018 6:11:58 AM,2/9/2018 8:00:40 PM,98,-10385616.0468,5622884.2775
0004XX 1 ST N,3739222,MP 2018 999263,01,2/8/2018 12:10:02 PM,2/8/2018 11:15:00 AM,11:15:00,TFMV,Theft From Motr Vehc,07,2/8/2018 12:10:02 PM,19562,44.98855577,-93.27353796,-10383162.7502,5619720.0064,NORTH LOOP,2/8/2018 12:10:09 PM,2/8/2018 8:00:33 PM,99,-10383162.7502,5619720.0064
0014XX Franklin AV E,3739226,MP 2018 040919,03,2/8/2018 12:29:00 PM,1/30/2018 9:00:00 PM,21:00:00,TFMV,Theft From Motr Vehc,07,2/8/2018 12:27:56 PM,17525,44.96272734,-93.25512616,-10381113.1583,5615655.5755,VENTURA VILLAGE,2/8/2018 5:40:40 PM,2/8/2018 8:00:33 PM,101,-10381113.1583,5615655.5755
0010XX MARQUETTE AV ,3739238,MP 2018 999262,01,2/8/2018 1:04:14 PM,1/27/2018 10:00:00 AM,10:00:00,TFMV,Theft From Motr Vehc,07,2/8/2018 1:04:14 PM,17096,44.972894,-93.27369104,-10383179.7907,5617255.2102,DOWNTOWN WEST,2/8/2018 1:04:19 PM,2/8/2018 8:00:33 PM,102,-10383179.7907,5617255.2102
0009XX 4 ST N,3739293,MP 2018 041221,01,2/8/2018 5:00:00 PM,2/7/2018 11:30:00 AM,11:30:00,AUTOTH,Motor Vehicle Theft,08,2/8/2018 5:15:35 PM,16620,44.98720974,-93.28094392,-10383987.178,5619508.1465,NORTH LOOP,2/9/2018 6:31:54 AM,2/9/2018 8:00:40 PM,116,-10383987.178,5619508.1465
0008XX 5 AV N,3739299,MP 2018 999256,04,2/8/2018 5:43:20 PM,2/8/2018 6:30:00 AM,06:30:00,TFMV,Theft From Motr Vehc,07,2/8/2018 5:43:20 PM,15717,44.98278712,-93.29018524,-10385015.9169,5618812.0771,SUMNER - GLENWOOD,2/8/2018 5:43:25 PM,2/8/2018 8:00:33 PM,118,-10385015.9169,5618812.0771
