X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10380252.5084,5613813.0864,0028XX CEDAR AVE S,MP2018700770        ,3     ,2018/07/08 00:00:00+00,1012,2018/07/07 00:00:00+00,2018/07/08 10:12:00+00,1800,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/08 00:00:00+00,21413,-93.24739,44.95101,-10380252.5084,5613813.0864,East Phillips,2018/07/08 00:00:00+00,2022/03/17 09:10:30+00,9769
-10378915.9284,5618527.9491,0004XX 14TH AVE SE,MP2018700772        ,2     ,2018/07/08 00:00:00+00,2037,2018/07/04 00:00:00+00,2018/07/08 20:37:00+00,1725,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/09 00:00:00+00,16559,-93.23538,44.98098,-10378915.9284,5618527.9491,Marcy Holmes,2018/07/09 00:00:00+00,2022/03/17 09:10:30+00,9771
-10377834.1582,5617102.2577,0004XX ONTARIO ST SE,MP2018700775        ,2     ,2018/07/09 00:00:00+00,1004,2018/07/06 00:00:00+00,2018/07/09 10:04:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/09 00:00:00+00,,-93.22567,44.97192,-10377834.1582,5617102.2577,Prospect Park - East River Road,2018/07/09 00:00:00+00,2022/03/17 09:10:30+00,9773
-10381088.5947,5623879.2998,0006XX 26TH AVE NE,MP2018700776        ,2     ,2018/07/09 00:00:00+00,822,2018/07/09 00:00:00+00,2018/07/09 08:22:00+00,810,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/09 00:00:00+00,11030,-93.2549,45.01497,-10381088.5947,5623879.2998,Holland,2018/07/09 00:00:00+00,2022/03/17 09:10:30+00,9774
-10383727.6199,5608594.5948,0002XX 47TH ST W,MP2018700780        ,5     ,2018/07/09 00:00:00+00,1055,2018/07/08 00:00:00+00,2018/07/09 10:55:00+00,2300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/09 00:00:00+00,12968,-93.27861,44.91782,-10383727.6199,5608594.5948,Tangletown,2018/07/09 00:00:00+00,2022/03/17 09:10:30+00,9775
-10384213.7162,5614100.8525,0027XX PLEASANT AVE,MP2018700782        ,5     ,2018/07/09 00:00:00+00,1029,2018/07/04 00:00:00+00,2018/07/09 10:29:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/09 00:00:00+00,14851,-93.28297,44.95284,-10384213.7162,5614100.8525,Whittier,2018/07/09 00:00:00+00,2022/03/17 09:10:30+00,9776
-10378915.9284,5618527.9491,0004XX 14TH AVE SE,MP2018700787        ,2     ,2018/07/09 00:00:00+00,2147,2018/07/08 00:00:00+00,2018/07/09 21:47:00+00,2100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,16638,-93.23538,44.98098,-10378915.9284,5618527.9491,Marcy Holmes,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9779
-10380399.8739,5619567.6468,0005XX 4TH AVE SE,MP2018700793        ,2     ,2018/07/09 00:00:00+00,1804,2018/07/06 00:00:00+00,2018/07/09 18:04:00+00,1725,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,17630,-93.24871,44.98758,-10380399.8739,5619567.6468,Marcy Holmes,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9783
-10379359.7971,5605480.3417,0022XX 58TH ST E,MP2018700796        ,3     ,2018/07/09 00:00:00+00,1718,2018/07/01 00:00:00+00,2018/07/09 17:18:00+00,1705,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,14173,-93.23937,44.89801,-10379359.7971,5605480.3417,Wenonah,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9784
-10386274.0391,5613117.2622,0015XX 31ST ST W,MP2018700797        ,5     ,2018/07/09 00:00:00+00,1704,2018/07/06 00:00:00+00,2018/07/09 17:04:00+00,2100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,11285,-93.30148,44.94659,-10386274.0391,5613117.2622,East Bde Maka Ska,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9785
-10383652.3327,5609304.616,0044XX NICOLLET AVE,MP2018700799        ,5     ,2018/07/09 00:00:00+00,1332,2018/07/09 00:00:00+00,2018/07/09 13:32:00+00,0,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,13151,-93.27793,44.92234,-10383652.3327,5609304.616,King Field,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9787
-10384217.2989,5619037.6264,0006XX OLSON MEMORIAL HWY,MP2018700801        ,1     ,2018/07/09 00:00:00+00,1605,2018/07/07 00:00:00+00,2018/07/09 16:05:00+00,300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,16909,-93.28301,44.98422,-10384217.2989,5619037.6264,North Loop,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9788
-10378775.3542,5618956.8619,0013XX 7TH ST SE,MP2018700804        ,2     ,2018/07/10 00:00:00+00,942,2018/07/09 00:00:00+00,2018/07/10 09:42:00+00,1500,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,19420,-93.23412,44.9837,-10378775.3542,5618956.8619,Como,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9790
-10383094.1205,5617413.6465,0009XX MARQUETTE AVE,MP2018700807        ,1     ,2018/07/09 00:00:00+00,1422,2018/07/08 00:00:00+00,2018/07/09 14:22:00+00,0,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,17243,-93.27292,44.9739,-10383094.1205,5617413.6465,Downtown West,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9792
-10378012.0118,5605689.3686,0057XX 31ST AVE S,MP2018700808        ,3     ,2018/07/09 00:00:00+00,1346,2018/07/09 00:00:00+00,2018/07/09 13:46:00+00,850,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,12793,-93.22726,44.89934,-10378012.0118,5605689.3686,Wenonah,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9793
-10378539.2383,5623849.1025,0025XX ARTHUR ST NE,MP2018700812        ,2     ,2018/07/10 00:00:00+00,1307,2018/07/09 00:00:00+00,2018/07/10 13:07:00+00,2300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,20089,-93.232,45.01478,-10378539.2383,5623849.1025,Audubon Park,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9795
-10384561.6744,5615369.6193,0005XX 22ND ST W,MP2018700813        ,5     ,2018/07/10 00:00:00+00,1306,2018/07/09 00:00:00+00,2018/07/10 13:06:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,16110,-93.2861,44.9609,-10384561.6744,5615369.6193,Whittier,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9796
-10385061.9197,5614383.2631,0026XX BRYANT AVE S,MP2018700814        ,5     ,2018/07/10 00:00:00+00,1300,2018/07/08 00:00:00+00,2018/07/10 13:00:00+00,2000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,16678,-93.29059,44.95463,-10385061.9197,5614383.2631,Lowry Hill East,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9797
-10380833.5825,5605900.4224,0056XX BLOOMINGTON AVE,MP2018700819        ,3     ,2018/07/10 00:00:00+00,1208,2018/07/10 00:00:00+00,2018/07/10 12:08:00+00,800,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/10 00:00:00+00,16940,-93.25261,44.90068,-10380833.5825,5605900.4224,Diamond Lake,2018/07/10 00:00:00+00,2022/03/17 09:10:30+00,9801
-10382258.3313,5620485.2369,0006XX MARSHALL ST NE,MP2018700826        ,2     ,2018/07/10 00:00:00+00,1920,2018/07/10 00:00:00+00,2018/07/10 19:20:00+00,1910,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/11 00:00:00+00,,-93.26541,44.99341,-10382258.3313,5620485.2369,St. Anthony West,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,9805
-10378680.9299,5624599.5087,0028XX GARFIELD ST NE,MP2018700829        ,2     ,2018/07/10 00:00:00+00,1656,2018/07/09 00:00:00+00,2018/07/10 16:56:00+00,2030,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/11 00:00:00+00,22875,-93.23327,45.01954,-10378680.9299,5624599.5087,Audubon Park,2019/04/09 00:00:00+00,2022/03/17 09:10:30+00,9807
-10382003.0328,5617172.4507,0007XX PARK AVE,MP2018700830        ,1     ,2018/07/10 00:00:00+00,1601,2018/07/10 00:00:00+00,2018/07/10 16:01:00+00,1300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/11 00:00:00+00,20006,-93.26312,44.97236,-10382003.0328,5617172.4507,Elliot Park,2018/07/11 00:00:00+00,2022/03/17 09:10:30+00,9808
