X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10384784.6096,5613257.795,0030XX LYNDALE AVE S,MP2020290712        ,5     ,2020/11/17 00:00:00+00,708,2020/11/16 00:00:00+00,2020/11/17 07:08:00+00,1930,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/18 00:00:00+00,19250,-93.2881,44.94748,-10384784.6096,5613257.795,Lyndale,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12885
-10384929.7273,5619386.0009,0007XX LYNDALE PL,MP2020290760        ,4     ,2020/11/16 00:00:00+00,2311,2020/11/16 00:00:00+00,2020/11/16 23:11:00+00,2311,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/18 00:00:00+00,20434,-93.28941,44.98643,-10384929.7273,5619386.0009,Sumner - Glenwood,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12889
-10378963.597,5619164.944,0007XX 12TH AVE SE,MP2020290803        ,2     ,2020/11/17 00:00:00+00,47,2020/11/16 00:00:00+00,2020/11/17 00:47:00+00,2000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/18 00:00:00+00,17731,-93.23581,44.98502,-10378963.597,5619164.944,Marcy Holmes,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12893
-10385059.9329,5614665.8739,0025XX BRYANT AVE S,MP2020290905        ,5     ,2020/11/17 00:00:00+00,600,2020/11/17 00:00:00+00,2020/11/17 06:00:00+00,510,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,16098,-93.29058,44.95643,-10385059.9329,5614665.8739,Lowry Hill East,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12898
-10385162.8359,5629148.3238,0051XX BRYANT AVE N,MP2020290930        ,4     ,2020/11/17 00:00:00+00,835,2020/11/17 00:00:00+00,2020/11/17 08:35:00+00,835,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,10100,-93.2915,45.04842,-10385162.8359,5629148.3238,Lind - Bohanon,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12903
-10386892.1087,5625170.1153,0037XX OLIVER AVE N,MP2020290987        ,4     ,2020/11/17 00:00:00+00,1019,2020/11/17 00:00:00+00,2020/11/17 10:19:00+00,930,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,22372,-93.30703,45.02317,-10386892.1087,5625170.1153,Folwell,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12906
-10380358.5596,5619037.2811,0005XX UNIVERSITY AVE SE,MP2020290996        ,2     ,2020/11/17 00:00:00+00,1025,2020/10/27 00:00:00+00,2020/11/17 10:25:00+00,1200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,17976,-93.24834,44.98421,-10380358.5596,5619037.2811,Marcy Holmes,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12907
-10385445.3221,5628576.9226,0049XX DUPONT AVE N,MP2020290997        ,4     ,2020/11/17 00:00:00+00,1047,2020/11/17 00:00:00+00,2020/11/17 10:47:00+00,946,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/18 00:00:00+00,22740,-93.29404,45.04479,-10385445.3221,5628576.9226,Lind - Bohanon,2020/11/18 00:00:00+00,2022/03/17 09:10:31+00,12908
-10386744.8963,5624030.1735,0033XX NEWTON AVE N,MP2020291004        ,4     ,2020/11/17 00:00:00+00,1230,2020/11/14 00:00:00+00,2020/11/17 12:30:00+00,945,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,,-93.30571,45.01593,-10386744.8963,5624030.1735,Folwell,2020/11/17 00:00:00+00,2022/03/26 07:00:58+00,12911
-10378186.3417,5622094.4019,0014XX NEW BRIGHTON BLVD,MP2020291016        ,2     ,2020/11/17 00:00:00+00,1204,2020/11/17 00:00:00+00,2020/11/17 12:04:00+00,930,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,21511,-93.22883,45.00363,-10378186.3417,5622094.4019,Northeast Park,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12913
