publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID,x,y
0004XX 2ND AVE N,MP2022270329,1,11/12/2022 12:00:00 AM,1223,11/11/2022 12:00:00 AM,11/12/2022 12:23:00 PM,2200,AUTOTH,AUTOMOBILE THEFT,08 ,11/13/2022 12:00:00 AM,,-93.27425,44.98164,-10383241.6547606,5618631.23304588,Downtown West,11/13/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5707,-10383241.6548,5618631.233
0034XX PARK AVE,MP2022270343,3,11/12/2022 12:00:00 AM,1125,11/11/2022 12:00:00 AM,11/12/2022 11:25:00 AM,2200,AUTOTH,AUTOMOBILE THEFT,08 ,11/13/2022 12:00:00 AM,,-93.26511,44.94047,-10382224.5449765,5612155.15178323,Central,11/13/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5708,-10382224.545,5612155.1518
0035XX GIRARD AVE N,MP2022270345,4,11/12/2022 12:00:00 AM,1120,11/12/2022 12:00:00 AM,11/12/2022 11:20:00 AM,1105,AUTOTH,AUTOMOBILE THEFT,08 ,11/13/2022 12:00:00 AM,,-93.29685,45.01947,-10385758.0118957,5624587.34767845,Folwell,11/13/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5709,-10385758.0119,5624587.3477
0028XX NICOLLET AVE,MP2022270372,5,11/12/2022 12:00:00 AM,1148,11/12/2022 12:00:00 AM,11/12/2022 11:48:00 AM,1143,AUTOTH,AUTOMOBILE THEFT,08 ,11/13/2022 12:00:00 AM,,-93.2779,44.95145,-10383648.7597264,5613881.66169584,Whittier,11/13/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5712,-10383648.7597,5613881.6617
0005XX 32ND ST E,MP2022270441,3,11/12/2022 12:00:00 AM,1450,11/11/2022 12:00:00 AM,11/12/2022 2:50:00 PM,1830,AUTOTH,AUTOMOBILE THEFT,08 ,11/13/2022 12:00:00 AM,,-93.26836,44.94498,-10382585.9497906,5612864.32219202,Central,11/13/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5714,-10382585.9498,5612864.3222
0047XX EMERSON AVE N,MP2022270474,4,11/12/2022 12:00:00 AM,1535,11/11/2022 12:00:00 AM,11/12/2022 3:35:00 PM,1200,AUTOTH,AUTOMOBILE THEFT,08 ,11/13/2022 12:00:00 AM,,-93.29529,45.04118,-10385583.9533668,5628006.40760686,Lind - Bohanon,11/13/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5716,-10385583.9534,5628006.4076
0026XX NICOLLET AVE,MP2022270490,5,11/12/2022 12:00:00 AM,1821,11/12/2022 12:00:00 AM,11/12/2022 6:21:00 PM,1400,AUTOTH,AUTOMOBILE THEFT,08 ,11/13/2022 12:00:00 AM,,-93.27788,44.95464,-10383645.836061,5614382.99447364,Whittier,11/14/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5717,-10383645.8361,5614382.9945
0023XX QUEEN AVE N,MP2022270881,4,11/13/2022 12:00:00 AM,56,11/13/2022 12:00:00 AM,11/13/2022 12:56:00 AM,56,AUTOTH,AUTOMOBILE THEFT,08 ,11/13/2022 12:00:00 AM,,-93.30949,45.00286,-10387164.7150537,5621971.24766883,Willard - Hay,11/13/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5725,-10387164.7151,5621971.2477
0005XX SAINT ANTHONY PKWY,MP2022468579,2,11/10/2022 12:00:00 AM,740,11/9/2022 12:00:00 AM,11/10/2022 7:40:00 AM,1930,AUTOTH,AUTOMOBILE THEFT,08 ,11/13/2022 12:00:00 AM,,-93.25478,45.0247,-10381074.3709387,5625410.52993633,Columbia Park,11/13/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5727,-10381074.3709,5625410.5299
0004XX WASHINGTON AVE N,MP2022235660,1,10/4/2022 12:00:00 AM,900,10/2/2022 12:00:00 AM,10/4/2022 9:00:00 AM,2000,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.2736,44.98531,-10383169.4392016,5619208.48862504,North Loop,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5730,-10383169.4392,5619208.4886
0014XX PARK AVE,MP2022272516,1,11/15/2022 12:00:00 AM,2044,11/14/2022 12:00:00 AM,11/15/2022 8:44:00 PM,1800,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.2651,44.96849,-10382223.5147671,5616562.62616643,Elliot Park,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5733,-10382223.5148,5616562.6262
0039XX ELLIOT AVE,MP2022272518,3,11/15/2022 12:00:00 AM,800,11/15/2022 12:00:00 AM,11/15/2022 8:00:00 AM,800,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26124,44.93144,-10381793.6016458,5610735.19380452,Bancroft,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5734,-10381793.6016,5610735.1938
0024XX 13TH AVE S,MP2022272532,3,11/15/2022 12:00:00 AM,812,11/14/2022 12:00:00 AM,11/15/2022 8:12:00 AM,2300,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.25623,44.95823,-10381235.8004272,5614948.79570897,Midtown Phillips,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5735,-10381235.8004,5614948.7957
0036XX 4TH AVE S,MP2022272536,3,11/15/2022 12:00:00 AM,1515,11/14/2022 12:00:00 AM,11/15/2022 3:15:00 PM,2230,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.27016,44.93686,-10382787.2134798,5611586.98930329,Central,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5736,-10382787.2135,5611586.9893
0017XX STEVENS AVE,MP2022272551,5,11/15/2022 12:00:00 AM,919,11/15/2022 12:00:00 AM,11/15/2022 9:19:00 AM,919,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.2753,44.96575,-10383358.470862,5616130.88924068,Steven's Square - Loring Heights,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5738,-10383358.4709,5616130.8892
0028XX HARRIET AVE,MP2022272606,5,11/16/2022 12:00:00 AM,825,10/14/2022 12:00:00 AM,11/16/2022 8:25:00 AM,2200,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.28554,44.95016,-10384499.1060918,5613677.89373891,Whittier,11/17/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5739,-10384499.1061,5613677.8937
0004XX HENNEPIN AVE,MP2022272623,1,11/15/2022 12:00:00 AM,1533,11/15/2022 12:00:00 AM,11/15/2022 3:33:00 PM,130,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.27188,44.98006,-10382978.5305231,5618383.62758409,Downtown West,11/18/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5740,-10382978.5305,5618383.6276
0026XX GARFIELD AVE,MP2022272735,5,11/15/2022 12:00:00 AM,1354,11/14/2022 12:00:00 AM,11/15/2022 1:54:00 PM,1900,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.28678,44.95464,-10384636.4836079,5614383.27391041,Whittier,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5744,-10384636.4836,5614383.2739
0033XX NICOLLET AVE,MP2022272753,5,11/15/2022 12:00:00 AM,1517,11/15/2022 12:00:00 AM,11/15/2022 3:17:00 PM,1320,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.27792,44.94214,-10383650.4341107,5612416.53858487,Lyndale,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5745,-10383650.4341,5612416.5386
0038XX HIAWATHA AVE,MP2022272788,3,11/15/2022 12:00:00 AM,1808,11/14/2022 12:00:00 AM,11/15/2022 6:08:00 PM,2000,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.22731,44.93232,-10378016.554629,5610872.82534342,Howe,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5747,-10378016.5546,5610872.8253
0013XX 2ND ST NE,MP2022272805,2,11/15/2022 12:00:00 AM,1555,11/14/2022 12:00:00 AM,11/15/2022 3:55:00 PM,1500,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26615,45.00144,-10382340.0186539,5621748.18258402,Sheridan,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5748,-10382340.0187,5621748.1826
0024XX 5TH AVE S,MP2022272808,3,11/15/2022 12:00:00 AM,1707,11/14/2022 12:00:00 AM,11/15/2022 5:07:00 PM,1800,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26898,44.95826,-10382655.1382677,5614952.87730286,Phillips West,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5749,-10382655.1383,5614952.8773
0028XX LYNDALE AVE N,MP2022272839,4,11/15/2022 12:00:00 AM,2225,11/15/2022 12:00:00 AM,11/15/2022 10:25:00 PM,2225,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.288,45.00861,-10384772.4362197,5622877.56577615,Hawthorne,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5752,-10384772.4362,5622877.5658
0002XX 4TH AVE N,MP2022272853,1,11/15/2022 12:00:00 AM,1806,11/14/2022 12:00:00 AM,11/15/2022 6:06:00 PM,1200,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.27042,44.9876,-10382815.4355857,5619569.21398516,North Loop,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5753,-10382815.4356,5619569.214
0029XX LYNDALE AVE S,MP2022272856,5,11/15/2022 12:00:00 AM,1802,11/10/2022 12:00:00 AM,11/15/2022 6:02:00 PM,2346,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.28809,44.94921,-10384783.0207034,5613528.43704509,Whittier,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5754,-10384783.0207,5613528.437
0025XX COLFAX AVE S,MP2022272863,5,11/15/2022 12:00:00 AM,1839,11/15/2022 12:00:00 AM,11/15/2022 6:39:00 PM,1600,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.29186,44.95643,-10385201.9903515,5614665.64473501,Whittier,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5755,-10385201.9904,5614665.6447
0004XX CEDAR AVE S,MP2022272905,1,11/15/2022 12:00:00 AM,2043,11/15/2022 12:00:00 AM,11/15/2022 8:43:00 PM,1330,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.24726,44.96897,-10380237.3112106,5616638.4990028,Cedar Riverside,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5756,-10380237.3112,5616638.499
0010XX PORTLAND AVE,MP2022272909,1,11/15/2022 12:00:00 AM,2101,11/15/2022 12:00:00 AM,11/15/2022 9:01:00 PM,1804,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26693,44.97006,-10382427.4842469,5616809.39705717,Elliot Park,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5757,-10382427.4842,5616809.3971
0004XX 4TH AVE S,MP2022272914,1,11/15/2022 12:00:00 AM,2005,11/15/2022 12:00:00 AM,11/15/2022 8:05:00 PM,1812,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26478,44.97697,-10382187.5298893,5617897.03519078,Downtown West,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5758,-10382187.5299,5617897.0352
0037XX MORGAN AVE N,MP2022272915,4,11/15/2022 12:00:00 AM,2000,11/15/2022 12:00:00 AM,11/15/2022 8:00:00 PM,2000,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.30451,45.02315,-10386610.019438,5625166.66489209,Folwell,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5759,-10386610.0194,5625166.6649
0007XX 1ST ST N,MP2022272929,1,11/15/2022 12:00:00 AM,1921,11/15/2022 12:00:00 AM,11/15/2022 7:21:00 PM,1630,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.27353,44.98855,-10383162.2310195,5619719.49977681,North Loop,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5761,-10383162.231,5619719.4998
0005XX HUMBOLDT AVE N,MP2022273001,4,11/15/2022 12:00:00 AM,2000,11/15/2022 12:00:00 AM,11/15/2022 8:00:00 PM,2000,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.2982,44.98336,-10385907.7264289,5618902.82239271,Harrison,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5763,-10385907.7264,5618902.8224
0024XX PARK AVE,MP2022273033,3,11/15/2022 12:00:00 AM,2046,11/15/2022 12:00:00 AM,11/15/2022 8:46:00 PM,1800,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26512,44.95822,-10382225.4858813,5614946.0484896,Phillips West,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5765,-10382225.4859,5614946.0485
0002XX FREMONT AVE N,MP2022273082,4,11/15/2022 12:00:00 AM,2209,11/15/2022 12:00:00 AM,11/15/2022 10:09:00 PM,2030,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.29554,44.97971,-10385612.2719277,5618327.57688797,Harrison,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5767,-10385612.2719,5618327.5769
0021XX 4TH ST NE,MP2022273106,2,11/15/2022 12:00:00 AM,2306,11/15/2022 12:00:00 AM,11/15/2022 11:06:00 PM,2000,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26158,45.00928,-10381831.5913462,5622981.81289999,Holland,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5769,-10381831.5913,5622981.8129
0004XX WASHINGTON AVE N,MP2022273117,1,11/15/2022 12:00:00 AM,2304,11/15/2022 12:00:00 AM,11/15/2022 11:04:00 PM,1730,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.2736,44.98531,-10383169.4392016,5619208.48862504,North Loop,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5771,-10383169.4392,5619208.4886
0007XX CHICAGO AVE,MP2022273239,1,11/16/2022 12:00:00 AM,454,11/16/2022 12:00:00 AM,11/16/2022 4:54:00 AM,454,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.26176,44.97179,-10381851.6622254,5617081.48038588,Elliot Park,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5773,-10381851.6622,5617081.4804
0009XX BROADWAY ST NE,MP2022273269,2,11/16/2022 12:00:00 AM,800,11/15/2022 12:00:00 AM,11/16/2022 8:00:00 AM,2030,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26823,44.9987,-10382572.2812131,5621317.36602746,St. Anthony West,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5774,-10382572.2812,5621317.366
0029XX 18TH AVE N,MP2022273292,4,11/16/2022 12:00:00 AM,824,11/15/2022 12:00:00 AM,11/16/2022 8:24:00 AM,1945,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.31718,44.99802,-10388020.8145133,5621210.18137182,Willard - Hay,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5775,-10388020.8145,5621210.1814
0008XX 4TH ST NE,MP2022273296,2,11/16/2022 12:00:00 AM,851,11/15/2022 12:00:00 AM,11/16/2022 8:51:00 AM,2000,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26124,44.99766,-10381793.8516193,5621153.23508656,St. Anthony West,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5776,-10381793.8516,5621153.2351
0048XX EMERSON AVE S,MP2022273321,5,11/16/2022 12:00:00 AM,1031,11/15/2022 12:00:00 AM,11/16/2022 10:31:00 AM,2030,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.29466,44.91504,-10385513.7469829,5608156.29126024,Lynnhurst,11/17/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5777,-10385513.747,5608156.2913
0003XX 37TH ST W,MP2022273339,5,11/16/2022 12:00:00 AM,900,11/16/2022 12:00:00 AM,11/16/2022 9:00:00 AM,900,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.28371,44.9359,-10384295.4541503,5611435.74670244,King Field,11/17/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5778,-10384295.4542,5611435.7467
0015XX 38TH ST E,MP2022273395,3,11/16/2022 12:00:00 AM,1012,11/16/2022 12:00:00 AM,11/16/2022 10:12:00 AM,1012,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.25176,44.93412,-10380738.9866614,5611156.50898412,Bancroft,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5779,-10380738.9867,5611156.509
0006XX FRANKLIN AVE E,MP2022273423,3,11/16/2022 12:00:00 AM,1040,11/16/2022 12:00:00 AM,11/16/2022 10:40:00 AM,1030,AUTOTH,AUTOMOBILE THEFT,08 ,11/16/2022 12:00:00 AM,,-93.26703,44.96269,-10382438.1972048,5615649.57239817,Ventura Village,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5780,-10382438.1972,5615649.5724
0015XX LAGOON AVE,MP2022713241,5,11/14/2022 12:00:00 AM,1449,11/14/2022 12:00:00 AM,11/14/2022 2:49:00 PM,0,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.30146,44.94926,-10386270.986461,5613537.23367353,East Bde Maka Ska,11/17/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5788,-10386270.9865,5613537.2337
0019XX 27TH AVE N,MP2022713242,4,11/15/2022 12:00:00 AM,1125,10/20/2022 12:00:00 AM,11/15/2022 11:25:00 AM,208,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.30379,45.0078,-10386530.5617065,5622749.79089494,Jordan,11/16/2022 12:00:00 AM,12/1/2022 7:08:48 AM,5789,-10386530.5617,5622749.7909
0050XX EMERSON AVE N,MP2022713245,4,11/15/2022 12:00:00 AM,1330,2/26/2019 12:00:00 AM,11/15/2022 1:30:00 PM,1300,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.29534,45.0466,-10385589.9038439,5628861.16239709,Lind - Bohanon,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5791,-10385589.9038,5628861.1624
0007XX 44TH ST W,MP2022713249,5,11/15/2022 12:00:00 AM,1454,11/9/2022 12:00:00 AM,11/15/2022 2:54:00 PM,2030,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.28895,44.92319,-10384878.5922578,5609436.7889921,East Harriet,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5795,-10384878.5923,5609436.789
0015XX LAUREL AVE,MP2022713263,5,11/15/2022 12:00:00 AM,2028,11/15/2022 12:00:00 AM,11/15/2022 8:28:00 PM,600,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.28489,44.97399,-10384426.0039823,5617428.35059222,Lowry Hill,11/16/2022 12:00:00 AM,12/1/2022 7:08:48 AM,5800,-10384426.004,5617428.3506
0026XX 2ND AVE S,MP2022713265,5,11/15/2022 12:00:00 AM,2150,11/15/2022 12:00:00 AM,11/15/2022 9:50:00 PM,1815,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.27406,44.95463,-10383221.2419601,5614381.59224994,Whittier,11/16/2022 12:00:00 AM,12/1/2022 7:08:48 AM,5801,-10383221.242,5614381.5922
0018XX 1ST AVE S,MP2022713268,5,11/15/2022 12:00:00 AM,2228,11/13/2022 12:00:00 AM,11/15/2022 10:28:00 PM,1900,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.27658,44.96458,-10383501.6069841,5615947.58977873,Steven's Square - Loring Heights,11/16/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5802,-10383501.607,5615947.5898
0011XX SPRING ST NE,MP2022713269,2,11/15/2022 12:00:00 AM,2249,11/11/2022 12:00:00 AM,11/15/2022 10:49:00 PM,1900,TFMV,THEFT FROM MOTR VEHC,07 ,11/16/2022 12:00:00 AM,,-93.24288,44.9951,-10379750.2292664,5620749.87619742,Northeast Park,11/16/2022 12:00:00 AM,12/1/2022 7:08:48 AM,5803,-10379750.2293,5620749.8762
0039XX FREMONT AVE N,MP2022248226,4,10/18/2022 12:00:00 AM,1844,10/18/2022 12:00:00 AM,10/18/2022 6:44:00 PM,1844,AUTOTH,AUTOMOBILE THEFT,08 ,10/20/2022 12:00:00 AM,,-93.29567,45.0267,-10385626.9561497,5625726.5147066,Webber - Camden,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5807,-10385626.9561,5625726.5147
0041XX 15TH AVE S,MP2022249051,3,10/19/2022 12:00:00 AM,1940,10/19/2022 12:00:00 AM,10/19/2022 7:40:00 PM,1933,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.25366,44.92783,-10380949.6247076,5610167.08031066,Bancroft,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5810,-10380949.6247,5610167.0803
0047XX BRYANT AVE N,MP2022249090,4,10/19/2022 12:00:00 AM,2020,10/19/2022 12:00:00 AM,10/19/2022 8:20:00 PM,2020,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.29144,45.04118,-10385155.636333,5628007.02839532,Lind - Bohanon,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5811,-10385155.6363,5628007.0284
0008XX 2ND ST S,MP2022249195,1,10/19/2022 12:00:00 AM,2322,10/19/2022 12:00:00 AM,10/19/2022 11:22:00 PM,2322,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.25574,44.97783,-10381181.5642074,5618032.68072687,Downtown East,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5812,-10381181.5642,5618032.6807
0008XX MOUNT CURVE AVE,MP2022249466,5,10/20/2022 12:00:00 AM,1350,10/19/2022 12:00:00 AM,10/20/2022 1:50:00 PM,1800,AUTOTH,AUTOMOBILE THEFT,08 ,10/20/2022 12:00:00 AM,,-93.29009,44.96656,-10385004.7760074,5616258.26144316,Lowry Hill,10/22/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5814,-10385004.776,5616258.2614
0020XX BRYANT AVE S,MP2022249507,5,10/20/2022 12:00:00 AM,1401,10/19/2022 12:00:00 AM,10/20/2022 2:01:00 PM,2200,TFMV,THEFT FROM MOTR VEHC,07 ,10/20/2022 12:00:00 AM,,-93.29054,44.96181,-10385055.2748682,5615511.74947374,Lowry Hill East,10/22/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5816,-10385055.2749,5615511.7495
0024XX PILLSBURY AVE,MP2022249600,5,10/20/2022 12:00:00 AM,1309,10/19/2022 12:00:00 AM,10/20/2022 1:09:00 PM,1700,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.28128,44.95822,-10384024.7045111,5614946.50529274,Whittier,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5817,-10384024.7045,5614946.5053
0027XX 39TH ST W,MP2022249614,5,10/20/2022 12:00:00 AM,1325,10/20/2022 12:00:00 AM,10/20/2022 1:25:00 PM,1130,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.31474,44.9323,-10387749.17118,5610870.54999973,Linden Hills,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5819,-10387749.1712,5610870.55
0024XX 14TH AVE S,MP2022249615,3,10/20/2022 12:00:00 AM,1326,10/20/2022 12:00:00 AM,10/20/2022 1:26:00 PM,100,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.25495,44.95824,-10381093.9674314,5614949.07920943,Midtown Phillips,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5820,-10381093.9674,5614949.0792
0039XX EAST MINNEHAHA PKWY,MP2022249696,3,10/20/2022 12:00:00 AM,1503,10/20/2022 12:00:00 AM,10/20/2022 3:03:00 PM,1345,TFMV,THEFT FROM MOTR VEHC,07 ,10/21/2022 12:00:00 AM,,-93.21567,44.91627,-10376720.9475849,5608348.95115979,Minnehaha,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5823,-10376720.9476,5608348.9512
0032XX ALDRICH AVE S,MP2022249699,5,10/20/2022 12:00:00 AM,1511,10/20/2022 12:00:00 AM,10/20/2022 3:11:00 PM,1500,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.28943,44.94382,-10384931.9707494,5612682.04745515,South Uptown,10/22/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5824,-10384931.9707,5612682.0475
0004XX 28TH AVE N,MP2022249727,4,10/20/2022 12:00:00 AM,1933,10/20/2022 12:00:00 AM,10/20/2022 7:33:00 PM,1200,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.27874,45.0084,-10383741.8167474,5622843.25329639,Hawthorne,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5825,-10383741.8167,5622843.2533
0024XX FRANKLIN AVE E,MP2022249867,3,10/20/2022 12:00:00 AM,1835,10/20/2022 12:00:00 AM,10/20/2022 6:35:00 PM,1500,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.23695,44.96276,-10379090.1316711,5615659.99410512,Seward,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5829,-10379090.1317,5615659.9941
0018XX LAKE ST E,MP2022249895,3,12/1/2022 12:00:00 AM,2103,11/29/2022 12:00:00 AM,12/1/2022 9:03:00 PM,1957,AUTOTH,AUTOMOBILE THEFT,08 ,10/20/2022 12:00:00 AM,,-93.24805,44.94837,-10380325.3862079,5613397.09173476,Howe,12/3/2022 12:00:00 AM,12/4/2022 7:02:25 AM,5830,-10380325.3862,5613397.0917
0032XX THOMAS AVE N,MP2022250013,4,10/20/2022 12:00:00 AM,2311,10/20/2022 12:00:00 AM,10/20/2022 11:11:00 PM,2030,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.31334,45.01415,-10387593.2976531,5623750.10392597,Cleveland,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5832,-10387593.2977,5623750.1039
0006XX 5TH ST SE,MP2022250172,2,10/21/2022 12:00:00 AM,22,10/20/2022 12:00:00 AM,10/21/2022 12:22:00 AM,1930,AUTOTH,AUTOMOBILE THEFT,08 ,10/21/2022 12:00:00 AM,,-93.24541,44.98562,-10380031.5465713,5619257.8186786,Marcy Holmes,10/21/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5836,-10380031.5466,5619257.8187
